image_path,place_name,lat,lon,severity
train/images/China_MotorBike_000234.jpg,Anandapuram Junction,17.903300,83.362500,Medium
train/images/G0066982.jpg,NH16 Near Madhurawada,17.870000,83.352000,Large
train/images/Japan_008372.jpg,NH16 Near Yendada,17.845000,83.338000,Small
train/images/India_000595.jpg,NH16 Near Hanumanthawaka,17.820000,83.324000,Medium
train/images/img-854_jpg.rf.610f1c3f0598e1b652758bd064c69d32.jpg,Hanumanthawaka Junction,17.760900,83.318800,Small
train/images/G0064537.jpg,Maddilapalem Junction,17.734100,83.318100,Small
train/images/China_MotorBike_001047.jpg,Dwaraka Nagar Junction,17.726000,83.303000,Small
train/images/G0029049.jpg,Railway Station Road,17.735000,83.305000,Small
train/images/Japan_000578.jpg,Siripuram Junction,17.713000,83.320000,Medium
train/images/G0090266.jpg,Poorna Market Road,17.712500,83.305500,Small
train/images/Japan_005586.jpg,Beach Road RK Beach,17.713000,83.341000,Small
train/images/Japan_005577.jpg,Beach Road Lawson's Bay,17.730000,83.347000,Large
train/images/India_003125.jpg,Beach Road MVP,17.747000,83.354000,Medium
train/images/Japan_005164.jpg,Beach Road Rushikonda,17.796900,83.384200,Small
train/images/G0043289.jpg,Gajuwaka Junction,17.700400,83.216800,Medium
train/images/G0029019.jpg,Kurmannapalem Road,17.689900,83.169300,Medium
train/images/G0052782.jpg,Kancharapalem Road,17.743000,83.245000,Large
train/images/India_006187.jpg,Pedagantyada Road,17.664000,83.206000,Medium
train/images/G0084374.jpg,Seethammadhara Road,17.743000,83.323000,Small
valid/images/G0011555.jpg,MVP Colony Road,17.748000,83.338000,Small
train/images/G0016562.jpg,Venkojipalem Road,17.750000,83.327000,Large
train/images/Japan_005804.jpg,Sabbavaram Road,17.822000,83.103000,Small
train/images/Norway_000922.jpg,Anandapuram Junction,17.903300,83.362500,Small
valid/images/G0011839.jpg,NH16 Near Madhurawada,17.870000,83.352000,Small
train/images/Norway_002456.jpg,NH16 Near Yendada,17.845000,83.338000,Large
valid/images/img-61_jpg.rf.a90cbd2da26633925c4bc0eb783ba58f.jpg,NH16 Near Hanumanthawaka,17.820000,83.324000,Medium
train/images/Japan_012546.jpg,Hanumanthawaka Junction,17.760900,83.318800,Small
train/images/G0089107.jpg,Maddilapalem Junction,17.734100,83.318100,Small
train/images/G0335487.jpg,Dwaraka Nagar Junction,17.726000,83.303000,Small
valid/images/img-95_jpg.rf.1eb3a1ae8fa5834b3fbbf08eab032e59.jpg,Railway Station Road,17.735000,83.305000,Small
train/images/India_001812.jpg,Siripuram Junction,17.713000,83.320000,Large
train/images/G0094425.jpg,Poorna Market Road,17.712500,83.305500,Large
train/images/Norway_004123.jpg,Beach Road RK Beach,17.713000,83.341000,Small
train/images/India_008957.jpg,Beach Road Lawson's Bay,17.730000,83.347000,Small
train/images/Japan_011054.jpg,Beach Road MVP,17.747000,83.354000,Small
train/images/Japan_008168.jpg,Beach Road Rushikonda,17.796900,83.384200,Large
valid/images/G0011620.jpg,Gajuwaka Junction,17.700400,83.216800,Medium
train/images/img-1255_jpg.rf.dae20176b2f8a0862e4939fcf3a2bfcd.jpg,Kurmannapalem Road,17.689900,83.169300,Medium
train/images/G0052686.jpg,Kancharapalem Road,17.743000,83.245000,Medium
train/images/G0064561.jpg,Pedagantyada Road,17.664000,83.206000,Large
train/images/Czech_000883.jpg,Seethammadhara Road,17.743000,83.323000,Small
train/images/India_001687.jpg,MVP Colony Road,17.748000,83.338000,Medium
train/images/India_002095.jpg,Venkojipalem Road,17.750000,83.327000,Medium
train/images/G0027190.jpg,Sabbavaram Road,17.822000,83.103000,Small
train/images/img-1256_jpg.rf.20fe5726944fb412f4d1cb364f81caf2.jpg,Anandapuram Junction,17.903300,83.362500,Small
train/images/China_MotorBike_001217.jpg,NH16 Near Madhurawada,17.870000,83.352000,Small
train/images/Norway_007638.jpg,NH16 Near Yendada,17.845000,83.338000,Small
train/images/G0029314.jpg,NH16 Near Hanumanthawaka,17.820000,83.324000,Small
train/images/G0066625.jpg,Hanumanthawaka Junction,17.760900,83.318800,Small
train/images/India_009123.jpg,Maddilapalem Junction,17.734100,83.318100,Medium
train/images/China_MotorBike_001811.jpg,Dwaraka Nagar Junction,17.726000,83.303000,Medium
